"","x"
"600","1488 intron6"
"601","101929780 intron14"
"602","100506866 intron4"
"603","130399 intron9"
"604","130540 intron4"
"605","101929567 intron3"
"606","101929570 intron1"
"607","10344 intron3"
"608","10344 intron2"
"609","10885 intron12"
"610","10885 intron19"
"611","124909437 intron1"
"612","113235 intron1"
"613","101926917 intron8"
"614","127833 intron5"
"615","142684 intron1"
"616","142685 intron3"
"617","102723348 intron3"
"618","105374454 intron3"
"619","105369913 intron2"
"620","105374468 intron1"
"621","105377713 intron1"
"622","100507602 intron1"
"623","10430 intron2"
"624","104310351 intron2"
"625","104310353 intron3"
"626","105378937 intron1"
"627","125476 intron6"
"628","129607 intron4"
"629","102724467 intron2"
"630","10320 intron4"
"631","124906132 intron2"
"632","124906198 intron2"
"633","10207 intron15"
"634","100129543 intron6"
"635","101928478 intron1"
"636","101928484 intron2"
"637","11183 intron15"
"638","11183 intron12"
"639","105371901 intron4"
"640","123706549 intron1"
"641","123720 intron4"
"642","123745 intron17"
"643","105371068 intron3"
"644","1106 intron7"
"645","105372859 intron1"
"646","105377168 intron1"
"647","100507475 intron1"
"648","10787 intron18"
"649","10787 intron10"
"650","10788 intron7"
"651","10788 intron8"
"652","11124 intron22"
"653","11124 intron21"
"654","100861522 intron1"
"655","114294 intron5"
"656","105374524 intron2"
"657","105374524 intron5"
"658","100507178 intron2"
"659","100507195 intron1"
"660","100507205 intron1"
"661","11160 intron5"
"662","105377171 intron2"
"663","105377382 intron2"
"664","10083 intron16"
"665","10083 intron13"
"666","1188 intron7"
"667","100128594 intron1"
"668","10400 intron6"
"669","10400 intron4"
"670","10951 intron3"
"671","10951 intron2"
"672","1387 intron6"
"673","138724 intron1"
"674","10013 intron17"
"675","105375244 intron2"
"676","149992 intron2"
"677","124901912 intron1"
"678","105371622 intron1"
"679","115111 intron6"
"680","124903335 intron2"
"681","124903339 intron1"
"682","130074 intron6"
"683","1301 intron33"
"684","1297 intron9"
"685","105374511 intron2"
"686","105374511 intron3"
"687","124905134 intron1"
"688","124905135 intron2"
"689","101928476 intron2"
"690","10319 intron17"
"691","10319 intron26"
"692","105378401 intron1"
"693","118827818 intron1"
"694","118427 intron3"
"695","124901095 intron1"
"696","101928496 intron9"
"697","101929529 intron2"
"698","101929529 intron1"
"699","1512 intron12"
"700","101928437 intron3"
"701","10079 intron15"
"702","124902636 intron2"
"703","124602 intron15"
"704","105375692 intron1"
"705","151525 intron7"
"706","107986766 intron1"
"707","124903164 intron4"
"708","124903164 intron3"
"709","105370016 intron1"
"710","100505515 intron1"
"711","154141 intron2"
"712","109951030 intron38"
"713","10675 intron1"
"714","105374934 intron3"
"715","1130 intron10"
"716","124901677 intron1"
"717","101928405 intron1"
"718","102724485 intron6"
"719","105373718 intron2"
"720","148753 intron1"
"721","146894 intron3"
"722","101927835 intron2"
"723","124904486 intron1"
"724","124904491 intron1"
"725","102467147 intron2"
"726","122402 intron30"
"727","122455341 intron2"
"728","101928418 intron1"
"729","1496 intron3"
"730","146664 intron7"
"731","11132 intron6"
"732","11132 intron9"
"733","11133 intron13"
"734","100506060 intron19"
"735","105370969 intron2"
"736","11113 intron17"
"737","11116 intron4"
"738","124902563 intron1"
"739","112268145 intron11"
"740","100302692 intron10"
"741","100302692 intron5"
"742","105374548 intron2"
"743","105374548 intron3"
"744","105376751 intron1"
"745","105374951 intron1"
"746","117532 intron2"
"747","107987176 intron1"
"748","1540 intron4"
"749","152586 intron2"
"750","152789 intron18"
"751","124903558 intron1"
"752","124903559 intron1"
"753","1213 intron31"
"754","121355 intron8"
"755","105369808 intron2"
"756","105369809 intron1"
"757","124903446 intron1"
"758","10371 intron2"
"759","103724386 intron3"
"760","101927449 intron2"
"761","105374555 intron2"
"762","105373030 intron2"
"763","10060 intron7"
"764","10214 intron4"
"765","10216 intron8"
"766","10290 intron30"
"767","10290 intron39"
"768","150372 intron8"
"769","133522 intron9"
"770","133522 intron10"
"771","133558 intron38"
"772","105370676 intron3"
"773","105370679 intron3"
"774","116115 intron1"
"775","124900834 intron1"
"776","124900836 intron1"
"777","124900838 intron1"
"778","1029 intron4"
"779","1029 intron1"
"780","107984132 intron1"
"781","107984158 intron1"
"782","107984158 intron2"
"783","107984168 intron1"
